geneId	transcriptId	nbExons	nbUmis
Nfkbid	undef	0	20
RP23-268K22.2	ENSMUST00000140069.1	3	3
Mtfp1	undef	0	4
Pmp22	ENSMUST00000018361.9	5	18
Vwa5a	undef	0	9
Rab15	ENSMUST00000021459.13	7	13
Ttyh1	ENSMUST00000119661.7	14	41
Rassf7	ENSMUST00000149548.1	2	1
RP23-440D19.2	undef	0	168
Prps2	ENSMUST00000145456.1	3	3
Ank2	ENSMUST00000182316.2	2	22
Slc12a4	ENSMUST00000116429.8	24	3
RP24-260D21.1	ENSMUST00000191655.1	1	6
Tvp23a	ENSMUST00000051118.6	7	34
Chtf8	ENSMUST00000169312.1	2	5
RP23-319P12.5	ENSMUST00000202838.1	1	4
Map3k6	ENSMUST00000134895.1	7	19
Wars	ENSMUST00000109848.9	10	134
Acat2	ENSMUST00000007005.13	9	961
Gm24378	ENSMUST00000122699.1	1	1
Sp3	ENSMUST00000141372.1	2	14
Ccdc107	ENSMUST00000030181.11	6	196
RP23-388I12.2	undef	0	12
RP24-231B8.9	ENSMUST00000221988.1	1	2
Alg3	ENSMUST00000127454.7	7	6
Bivm	ENSMUST00000114709.2	10	29
RP23-123N11.1	undef	0	2
Fcf1	ENSMUST00000171040.1	8	3
Zbtb44	ENSMUST00000216649.1	6	1
Lgals8	undef	0	25
n-R5s31	ENSMUST00000104162.1	1	1
Pmm2	ENSMUST00000230828.1	9	1
Dis3l2	undef	0	210
Ptpn21	undef	0	18
Dlx1as	ENSMUST00000122990.1	2	2
Alg9	ENSMUST00000034561.10	15	25
Olfr750	undef	0	1
RP23-88A13.4	ENSMUST00000195583.1	1	2
Pdxk	ENSMUST00000041616.14	11	13
RP23-101P2.6	ENSMUST00000194994.1	1	1
Amfr	ENSMUST00000053766.13	14	56
Ctr9	ENSMUST00000146709.1	2	80
Rpl29	undef	0	379
RP23-313J14.6	undef	0	43
Chchd5	ENSMUST00000137881.1	2	16
Zdhhc1	undef	0	16
Spin2c	ENSMUST00000148708.1	2	2
RP23-162G11.2	undef	0	117
Ogt	ENSMUST00000155792.1	4	598
Micu3	undef	0	141
Nucks1	undef	0	1130
Fcgrt	ENSMUST00000210642.1	7	1
Rubcn	ENSMUST00000119810.1	19	2
Mss51	undef	0	4
Ccna2	ENSMUST00000156575.1	2	2
Plag1	undef	0	17
Fignl1	ENSMUST00000171938.1	3	6
Zfp523	ENSMUST00000151595.1	2	2
Grpel2	undef	0	52
Adgrv1	undef	0	27
Nf1	undef	0	291
Orc3	ENSMUST00000108142.7	20	19
Fxyd2	ENSMUST00000041005.5	6	1
Aimp1	undef	0	481
Chchd7	ENSMUST00000119403.1	3	2
Abl1	ENSMUST00000156736.3	3	1
Poc5	undef	0	90
RP23-418P21.1	ENSMUST00000119790.1	1	58
C2cd5	ENSMUST00000204635.1	2	2
Nlk	ENSMUST00000142739.7	11	22
Rps19	ENSMUST00000108430.9	6	13118
Tbc1d14	ENSMUST00000171385.7	12	52
AC146815.1	ENSMUST00000119397.1	1	1
Arl5a	ENSMUST00000036541.7	6	33
Nob1	ENSMUST00000163973.7	4	8
Acadsb	ENSMUST00000117518.1	10	1
Ptger3	undef	0	2
Foxp4	ENSMUST00000113262.1	17	5
Usp14	ENSMUST00000092096.12	16	131
Pfn4	ENSMUST00000178879.2	5	4
Brwd1	undef	0	181
Tmem141	undef	0	21
Tmem39b	ENSMUST00000125445.7	10	11
Rnf138rt1	ENSMUST00000059320.3	1	21
Plat	ENSMUST00000033941.6	14	14
Pth1r	ENSMUST00000166716.7	15	6
Tmem132a	ENSMUST00000120524.1	10	2
H2-Ab1	undef	0	1
RP23-480P16.2	ENSMUST00000121240.1	1	5
Sp4	ENSMUST00000222314.1	6	8
Stk16	ENSMUST00000139627.2	2	9
RP24-361O20.1	ENSMUST00000218775.1	1	2
Adarb1	ENSMUST00000020496.13	11	2
Acot9	ENSMUST00000131332.7	16	1
Gm26870	undef	0	14
Cib2	undef	0	72
Washc3	undef	0	66
Gjc1	ENSMUST00000068933.11	3	60
Cdk9	ENSMUST00000009699.15	7	102
Arl10	undef	0	59
Lrrc18	undef	0	1
Nfxl1	ENSMUST00000149393.1	3	1
Optn	ENSMUST00000114996.7	14	4
Yipf6	ENSMUST00000054697.6	7	17
Mpped2	ENSMUST00000124461.7	5	1
RP23-316C11.7	ENSMUST00000152784.7	3	3
Tapbp	ENSMUST00000172653.1	3	1
Kif19a	undef	0	1
Arl10	ENSMUST00000142246.1	2	1
Ppm1j	ENSMUST00000002298.6	10	1
Zfp84	undef	0	71
Slc6a17	undef	0	138
Pde3b	undef	0	83
R3hcc1l	ENSMUST00000160107.1	6	2
Ubqln4	undef	0	180
Zfp260	ENSMUST00000108200.1	3	31
Prpf4b	ENSMUST00000222509.1	16	1
Rhbdd1	undef	0	12
RP23-33N15.5	undef	0	1
Dlgap4	ENSMUST00000000094.13	7	2
Npas1	ENSMUST00000002053.8	12	25
Stt3b	undef	0	215
Rmi1	undef	0	28
Cnbd2	ENSMUST00000133056.1	2	2
Gadd45a	ENSMUST00000043098.8	4	45
H2afz	ENSMUST00000174561.7	5	24
Spred2	ENSMUST00000093298.11	6	3
Irgq	undef	0	158
Araf	ENSMUST00000120356.7	6	25
Man1a	undef	0	18
Zfpm2	ENSMUST00000229777.1	4	1
Prrx1	ENSMUST00000027878.13	4	9
Zmym1	undef	0	49
Zfp667	ENSMUST00000108562.1	5	2
Cd47	ENSMUST00000229206.1	11	102
C130060C02Rik	undef	0	4
RP23-411B11.4	ENSMUST00000194444.1	1	21
Recql5	ENSMUST00000021097.9	19	4
Fam150b	ENSMUST00000067087.6	5	2
Zfp867	ENSMUST00000057799.7	4	14
Gm24576	ENSMUST00000175508.2	1	4
Znhit3	ENSMUST00000127838.1	5	1
Ckap4	undef	0	126
RP24-339I11.6	ENSMUST00000220564.1	1	12
RP24-111L5.2	ENSMUST00000200018.1	1	1
Zic5	undef	0	127
Arhgef40	ENSMUST00000100639.10	24	1
Fnbp4	ENSMUST00000145747.7	4	1
Spred3	undef	0	52
Edf1	ENSMUST00000153008.7	4	39
Mphosph6	undef	0	50
Mxi1	ENSMUST00000025998.13	6	26
Mt3	undef	0	79
Lrp12	undef	0	41
Phka2	undef	0	95
B3gnt5	ENSMUST00000119468.1	3	10
Vps29	ENSMUST00000118830.7	5	243
Ankrd49	ENSMUST00000216372.1	3	1
March6	undef	0	208
Pag1	ENSMUST00000163022.1	3	13
Tatdn3	ENSMUST00000027945.5	10	7
Psma1	ENSMUST00000033008.9	10	1645
Bmi1	ENSMUST00000028071.12	10	60
Trim11	ENSMUST00000108810.9	7	4
Ecm2	undef	0	5
Fam168a	ENSMUST00000208406.1	4	31
Macrod2	ENSMUST00000124403.1	4	4
Rap1gap	ENSMUST00000123011.7	3	2
RP23-276L18.1	undef	0	133
Tfdp1	undef	0	206
Orc6	ENSMUST00000210146.1	6	1
Rps29	ENSMUST00000094291.2	2	2
Clec3b	undef	0	2
Tmem134	ENSMUST00000148807.8	7	20
Nxt2	ENSMUST00000112914.7	4	51
Cltc	ENSMUST00000141152.1	2	1
Lgi3	ENSMUST00000226548.1	5	1
Cdkn3	ENSMUST00000067426.5	8	47
Rhbdf1	ENSMUST00000020524.14	18	5
Phip	ENSMUST00000190838.1	6	2
Nit2	ENSMUST00000023432.9	10	125
Snx3	undef	0	156
RP24-371E20.5	undef	0	2
Akap1	undef	0	74
Lin54	undef	0	71
Pfkfb1	undef	0	6
Tbl3	ENSMUST00000126319.7	22	79
Cdh22	ENSMUST00000065438.12	12	1
Ccdc9	ENSMUST00000131963.2	3	1
RP23-57F11.1	ENSMUST00000107081.7	3	10
Aaas	undef	0	32
Suv420h1	ENSMUST00000152935.7	6	1
Nisch	ENSMUST00000167979.1	2	15
Fam174b	undef	0	78
Mbd2	ENSMUST00000114946.3	3	1
AC119897.1	undef	0	52
Lrrc27	undef	0	9
Cmtm7	undef	0	25
RP23-178D3.1	ENSMUST00000118949.1	1	2
Gas8	undef	0	75
Scamp3	ENSMUST00000148881.7	4	1
Tet1	ENSMUST00000173081.1	3	9
AC162893.3	undef	0	4
Tmem88b	undef	0	1
Rbpsuh-rs3	ENSMUST00000182751.1	1	12
RP23-306I3.1	undef	0	56
Foxk1	undef	0	58
Fam64a	ENSMUST00000021164.3	6	184
Agl	ENSMUST00000040603.13	34	1
Tbc1d1	ENSMUST00000129389.7	2	12
Prag1	ENSMUST00000110492.1	6	2
Amacr	ENSMUST00000070877.6	5	15
Msantd1	undef	0	4
Nsd1	ENSMUST00000225169.1	2	5
Mtif3	ENSMUST00000110564.7	5	3
Lonrf3	ENSMUST00000016383.9	11	1
Pcca	ENSMUST00000148172.1	5	7
Rasef	undef	0	1
RP24-554B1.10	ENSMUST00000185218.1	3	2
Ccdc51	ENSMUST00000026735.8	4	65
RP24-230L5.3	ENSMUST00000199734.1	1	6
Sfxn5	ENSMUST00000045846.11	14	4
Sirt2	ENSMUST00000155327.7	15	11
Tcf4	ENSMUST00000202474.2	13	1
RP24-173G12.1	ENSMUST00000228829.1	1	7
Clk2	ENSMUST00000090927.11	13	2
Zfp239	ENSMUST00000112857.2	2	18
Nt5c3b	ENSMUST00000092689.8	8	11
RP24-364O14.1	ENSMUST00000138679.1	1	14
Lsm1	ENSMUST00000211168.1	2	2
Cdc25b	ENSMUST00000028804.14	16	12
Prc1	ENSMUST00000173914.2	3	22
Neto2	ENSMUST00000216286.1	9	1
Klhl35	undef	0	32
Zbtb49	ENSMUST00000126267.7	7	2
Gtf2h4	undef	0	41
RP23-85A17.3	ENSMUST00000119837.1	1	6
Baz1b	undef	0	696
Actl6a	ENSMUST00000029214.13	14	340
Dph2	ENSMUST00000126554.1	2	1
Ergic3	ENSMUST00000149381.1	2	1
Mrpl30	ENSMUST00000194857.5	5	83
Xab2	ENSMUST00000019614.12	19	98
Supv3l1	ENSMUST00000159042.1	2	3
Paqr9	ENSMUST00000079597.6	1	34
Fubp1	undef	0	2205
Ndufv3	ENSMUST00000064798.14	3	1496
Zfp454	ENSMUST00000109131.7	3	8
Aox1	undef	0	2
Usp36	ENSMUST00000148998.1	4	1
Zbtb4	undef	0	58
Fads3	ENSMUST00000115995.2	12	15
RP23-451C8.1	undef	0	4
Mnt	undef	0	97
Creg1	ENSMUST00000111432.9	4	63
AC122005.1	undef	0	47
Unc45a	ENSMUST00000032748.14	20	18
Psmd12	ENSMUST00000021063.12	11	456
Gm23989	ENSMUST00000117030.1	1	2
Hmga1	ENSMUST00000231874.1	5	49
AC127252.4	ENSMUST00000141485.1	2	2
Utp6	ENSMUST00000146127.1	4	3
Cep57l1	ENSMUST00000188514.1	2	12
AL669896.1	undef	0	1
Actn1	ENSMUST00000219382.1	2	13
Rps25	ENSMUST00000080300.8	5	8345
Rimbp2	undef	0	4
Zfp60	ENSMUST00000108336.7	5	66
Gper1	undef	0	4
RP23-180A14.2	ENSMUST00000223632.1	2	1
Morn1	undef	0	170
Kdm8	undef	0	22
Atg13	ENSMUST00000028678.8	17	15
Rorb	ENSMUST00000112832.7	10	13
Wbp4	ENSMUST00000228161.1	4	3
RP23-256J14.1	ENSMUST00000205859.1	1	58
Rnd2	ENSMUST00000001347.6	5	190
Psrc1	ENSMUST00000102629.7	8	48
Pxdn	ENSMUST00000155318.1	9	6
Fam188a	ENSMUST00000028105.12	15	24
Msi2	ENSMUST00000107908.1	8	1
Trp53	ENSMUST00000108657.3	11	25
Phrf1	ENSMUST00000144250.1	2	8
Setd8	undef	0	195
Gdap10	undef	0	258
Dnajc11	ENSMUST00000124955.1	2	5
Usp20	undef	0	219
Mvd	undef	0	82
Swi5	ENSMUST00000050410.10	5	1305
Ifnar2	undef	0	45
Dmrtc1a	undef	0	2
Rad51c	undef	0	57
Abtb2	undef	0	15
Malat1	ENSMUST00000173499.1	2	18
Rad17	undef	0	89
RP23-284J4.2	ENSMUST00000186165.1	2	1
RP24-548A15.1	undef	0	1
Pigm	ENSMUST00000052455.3	1	47
RP23-2D23.2	undef	0	1
RP23-239I17.2	ENSMUST00000195692.1	1	23
Srfbp1	undef	0	45
Fam13b	undef	0	176
Adam10	ENSMUST00000145377.1	2	4
Wbscr17	ENSMUST00000160807.1	4	24
Zmiz1os1	undef	0	5
Mrpl54	ENSMUST00000145452.1	2	7
Dnaja1	ENSMUST00000164233.7	9	224
Pcdh10	undef	0	156
Prdx4	ENSMUST00000123915.1	2	1
Nemf	ENSMUST00000021368.9	33	3
Luc7l2	ENSMUST00000160430.2	8	2
Frmd4b	ENSMUST00000142589.5	8	11
Gm26718	undef	0	22
Tra2b	ENSMUST00000162413.8	10	14
Rasl11b	ENSMUST00000183995.1	2	25
Rpsa-ps9	ENSMUST00000120702.1	1	3
Ppil3	ENSMUST00000117069.7	7	15
Hspa5	undef	0	608
Itgb1bp1	ENSMUST00000173729.7	7	51
Fuca1	ENSMUST00000030434.4	8	210
Smco3	ENSMUST00000068293.3	2	2
Rab40c	ENSMUST00000167018.7	7	28
Ncoa2	undef	0	96
Dhodh	ENSMUST00000146064.7	4	10
RP23-83O23.2	undef	0	1
Hnrnpd	ENSMUST00000112939.9	8	77
Qsox2	ENSMUST00000036187.8	13	4
Serf1	ENSMUST00000151821.7	3	10
RP23-452K4.2	ENSMUST00000026989.14	9	108
Fhl2	undef	0	11
Nrxn2	undef	0	956
Slc39a4	undef	0	1
Stat2	ENSMUST00000218863.1	4	16
Stip1	ENSMUST00000025918.7	14	645
Haus1	undef	0	21
Wsb1	undef	0	314
AC158994.1	ENSMUST00000121056.2	1	14
RP23-17N7.4	ENSMUST00000144844.1	2	20
Trim2	ENSMUST00000107693.8	12	11
Myt1	ENSMUST00000130079.7	17	3
RP24-461L18.3	ENSMUST00000200261.1	1	1
RP23-20K24.5	ENSMUST00000180896.7	4	23
Kcna5	ENSMUST00000060972.4	1	1
Trappc1	ENSMUST00000102602.7	5	508
RP23-23G3.3	undef	0	96
Cyp4f16	ENSMUST00000169591.7	13	3
Mat2a	ENSMUST00000059472.9	9	505
Wsb2	ENSMUST00000149669.7	4	3
Sugp2	ENSMUST00000093458.10	11	14
Rab11a	ENSMUST00000167569.7	3	26
Dnajc6	undef	0	117
Ccdc93	undef	0	113
Capza1	ENSMUST00000094028.9	10	32
Ptpn9	ENSMUST00000034832.7	13	44
Tex261	ENSMUST00000137773.1	3	2
Anapc13	ENSMUST00000190279.6	3	513
AC102506.1	undef	0	24
Wdr13	undef	0	143
Nkain1	ENSMUST00000105993.3	7	7
Rac3	ENSMUST00000018156.11	6	990
RP23-161B11.4	ENSMUST00000218974.1	2	9
Naa35	ENSMUST00000022038.14	23	105
Sp3	ENSMUST00000066003.6	6	1
Nrde2	undef	0	56
Itga6	undef	0	96
Zmynd11	ENSMUST00000137813.1	2	2
Atl2	ENSMUST00000222193.1	13	1
Rab31	undef	0	88
A830052D11Rik	undef	0	2
Peg3	ENSMUST00000150182.7	10	2
AC118627.1	ENSMUST00000120421.1	1	3395
Slc20a2	undef	0	116
Rps17	ENSMUST00000134425.7	4	447
Fzr1	ENSMUST00000140901.7	14	246
Tmem180	undef	0	13
Ywhaq	ENSMUST00000103002.7	5	428
Igfbp3	ENSMUST00000020702.10	5	28
Hbs1l	ENSMUST00000220392.1	2	7
Macrod2os1	undef	0	1
RP24-170A20.3	undef	0	3
Gucd1	ENSMUST00000118936.7	6	5
Gpatch2	ENSMUST00000044812.11	6	1
Tmed4	ENSMUST00000004508.12	5	304
RP24-123H11.2	ENSMUST00000227034.1	1	2
RP23-477N9.4	ENSMUST00000200359.1	1	9
Ewsr1	ENSMUST00000093365.11	9	2
Col26a1	ENSMUST00000125061.1	3	1
Zmat5	undef	0	447
Kpnb1	ENSMUST00000132633.1	3	15
Bckdhb	undef	0	63
Rftn1	undef	0	15
RP23-63F23.3	ENSMUST00000226752.1	1	3
Cenpm	ENSMUST00000089155.5	5	16
Tmem256	ENSMUST00000139085.1	2	113
Rnf146	ENSMUST00000160372.8	3	100
Actl6a	undef	0	595
Emc7	undef	0	126
Dync1i2	ENSMUST00000081710.11	16	18
Tspyl2	ENSMUST00000178165.1	6	1
Ivns1abp	ENSMUST00000186745.1	15	8
Tcea3	undef	0	1
Tsr3	ENSMUST00000063574.6	6	176
Rnf181	ENSMUST00000205399.1	2	1
Nup153	ENSMUST00000182156.1	2	4
Wipi1	undef	0	43
Hmg20b	ENSMUST00000134857.1	2	3
Cpeb4	ENSMUST00000020543.12	10	2
Evi5l	ENSMUST00000177085.1	4	1
RP23-100C7.3	ENSMUST00000123865.7	3	48
Znhit6	undef	0	164
Zrsr2	ENSMUST00000127370.2	4	2
Jam3	undef	0	38
RP24-340J3.3	ENSMUST00000135406.8	1	62
Arhgap5	undef	0	416
AC139673.3	ENSMUST00000159701.1	2	1
RP23-301L9.3	ENSMUST00000199606.1	1	16
RP23-230H3.7	undef	0	17
Mmp15	ENSMUST00000034243.6	10	10
Insig1	undef	0	64
Zfp759	undef	0	12
Mampt	ENSMUST00000020886.8	11	65
Ndufc2	ENSMUST00000032882.8	3	3244
Snapc4	ENSMUST00000135171.1	3	1
RP24-68E20.2	ENSMUST00000222913.1	1	19
Smad7	undef	0	136
RP23-27N1.2	ENSMUST00000232089.1	2	1
Eps15	ENSMUST00000102729.9	25	7
Icam1	ENSMUST00000086399.5	7	1
Sec63	undef	0	407
Tti2	ENSMUST00000210129.1	8	1
RP24-62L21.4	ENSMUST00000220774.1	1	2
Mgrn1	ENSMUST00000070658.15	17	34
Rpl9	ENSMUST00000147660.7	4	1
RP24-374B14.8	ENSMUST00000198052.1	1	1
Chchd1	ENSMUST00000225527.1	2	1
Zmynd11	ENSMUST00000137932.1	2	30
RP23-110E20.5	undef	0	1
Agk	ENSMUST00000031977.11	16	9
Psmf1	ENSMUST00000042452.10	7	174
Ccdc169	undef	0	1
Tfr2	undef	0	18
Galk2	ENSMUST00000028636.12	10	9
Thap12	ENSMUST00000126356.7	6	5
RP23-413G8.2	undef	0	8
Prkcdbp	ENSMUST00000047040.3	2	133
Scyl2	ENSMUST00000174252.7	18	4
Yipf3	ENSMUST00000149989.1	2	5
Tk2	ENSMUST00000211995.1	9	43
Sf1	ENSMUST00000113487.7	13	83
Ptbp3	ENSMUST00000148331.8	14	3
Zfp715	ENSMUST00000048015.13	4	4
Nkpd1	undef	0	3
Trmt112	ENSMUST00000172869.1	3	7
Fam168a	ENSMUST00000207078.1	3	206
Gm10093	ENSMUST00000079363.4	1	4
Enc1	undef	0	580
Lcp2	undef	0	2
Stxbp2	undef	0	26
Dpf1	ENSMUST00000128145.1	4	9
RP24-84I4.4	ENSMUST00000206811.1	1	1
Gem	undef	0	210
Lysmd3	ENSMUST00000224300.1	3	52
Psd3	ENSMUST00000150169.7	10	1
Gps1	undef	0	232
Eif5	ENSMUST00000222234.1	5	15
Nespas	undef	0	116
Uqcc2	ENSMUST00000025045.14	4	1885
RP24-458J4.8	ENSMUST00000218485.1	3	1
H60b	ENSMUST00000131558.1	6	1
Dtx2	ENSMUST00000111145.9	10	48
Nol6	undef	0	71
Gm25456	ENSMUST00000157952.1	1	1
Ak3	undef	0	69
Tstd2	ENSMUST00000160008.1	6	2
Tmem143	ENSMUST00000069772.15	8	14
Polr3f	ENSMUST00000155567.7	5	7
Dhx30	ENSMUST00000197979.1	3	7
RP23-317L18.4	ENSMUST00000195335.1	1	20
Cdk2ap1	ENSMUST00000031341.10	4	130
Nosip	undef	0	100
RP23-226M12.1	ENSMUST00000139163.7	5	2
Emc9	undef	0	8
Zbtb25	ENSMUST00000176278.7	3	49
RP23-383A10.7	ENSMUST00000211700.1	1	1
Foxj3	ENSMUST00000131413.1	2	18
Arfgap2	ENSMUST00000150701.7	3	27
RP23-309G12.1	ENSMUST00000196047.1	1	1
Tmed2	ENSMUST00000124529.7	4	6
Mlx	ENSMUST00000143344.1	2	6
Fbxo2	undef	0	13
Trim32	ENSMUST00000050850.13	2	105
Adcy3	undef	0	132
Sema5b	ENSMUST00000128966.1	2	2
Lrr1	ENSMUST00000222520.1	3	37
Chpt1	ENSMUST00000117440.7	9	2
B3gnt5	undef	0	215
Ppp1r15b	undef	0	30
Mettl5	undef	0	20
Ttc39b	ENSMUST00000030205.13	7	1
RP24-172B22.6	ENSMUST00000195437.1	1	3
Scand1	undef	0	890
Dnmt3l-ps1	ENSMUST00000118734.1	1	2
Mkx	undef	0	4
Casq1	ENSMUST00000003554.10	11	4
Nsd3	ENSMUST00000146919.7	10	3
RP24-93F18.2	undef	0	22
Stac	ENSMUST00000161995.1	10	4
Tbc1d23	ENSMUST00000226586.1	19	4
RP23-250G8.12	ENSMUST00000193107.1	1	1
Srsf7	undef	0	1407
Guf1	undef	0	173
Nup35	ENSMUST00000127926.1	3	1
Exosc3	ENSMUST00000130843.1	3	1
Cox6c	ENSMUST00000127999.1	2	3
Helb	ENSMUST00000020449.11	13	1
Hadha	ENSMUST00000132486.1	2	11
Pop5	ENSMUST00000081497.12	6	4
Lrrc42	ENSMUST00000137837.1	6	2
Cnr1	ENSMUST00000084736.2	2	17
Cep57l1	ENSMUST00000189222.1	3	13
RP24-531B21.2	ENSMUST00000217288.1	1	10
Ufd1l	ENSMUST00000172013.8	11	5
Haghl	ENSMUST00000138759.7	8	11
Adarb1	undef	0	73
RP24-546N2.1	ENSMUST00000194571.1	1	1
Clmp	ENSMUST00000034522.7	7	446
Nt5c3	ENSMUST00000031793.7	9	344
AC134411.3	ENSMUST00000161387.1	1	2
RP24-477K18.1	ENSMUST00000167639.3	1	13
Hbp1	ENSMUST00000176138.1	3	2
Gm22435	ENSMUST00000158552.1	1	2
Mrps10	ENSMUST00000119945.7	7	54
Sarm1	ENSMUST00000153534.1	4	1
Vapa	ENSMUST00000024897.8	6	1366
Tle3	ENSMUST00000159630.7	19	1
Cd68	undef	0	13
Skp2	undef	0	88
Kif1b	ENSMUST00000132072.1	2	33
Sumo1	ENSMUST00000091374.8	5	2029
RP23-32A8.1	ENSMUST00000184655.3	3	14
Klhdc4	ENSMUST00000174709.7	11	1
Zfp58	undef	0	6
Ddias	ENSMUST00000208356.1	7	2
RP23-303F24.3	undef	0	1
RP24-112H7.2	undef	0	3
Gdf11	undef	0	27
Man2c1os	ENSMUST00000142077.2	2	5
Zdhhc3	undef	0	179
AC131692.9	undef	0	3
Tmem98	undef	0	27
RP23-10P23.3	undef	0	5
Zfp143	ENSMUST00000084727.10	16	8
RP24-194N4.6	ENSMUST00000210323.1	2	4
Tyro3	ENSMUST00000028763.9	19	9
Neto2	undef	0	202
Tmem263	ENSMUST00000095383.5	3	86
Eln	ENSMUST00000015138.12	37	8
Hist1h2ao	ENSMUST00000091745.5	1	36
RP23-237G11.5	undef	0	10
Dlgap4	ENSMUST00000127944.8	5	3
Phf23	ENSMUST00000135814.1	4	10
Tpmt	ENSMUST00000021806.10	9	22
Dhx16	ENSMUST00000174449.1	2	1
RP23-58C20.6	undef	0	11
Rps11	undef	0	2694
Ngrn	ENSMUST00000138005.1	2	193
Pot1a	ENSMUST00000136089.1	3	1
Tgif1	ENSMUST00000118283.7	3	4
BC031181	ENSMUST00000040284.4	3	1320
Rnf114	ENSMUST00000127939.1	5	24
C230021G24Rik	undef	0	4
RP24-443B5.1	ENSMUST00000049052.3	3	5
Duxbl1	undef	0	27
RP24-62C22.1	undef	0	1
Gng3	undef	0	292
Homer2	ENSMUST00000207983.1	9	32
Il1rap	ENSMUST00000174202.7	8	2
Nfic	ENSMUST00000117966.1	10	18
Creld1	ENSMUST00000147932.7	4	22
Gtf3c4	ENSMUST00000037117.5	5	3
Kdelr2	undef	0	38
Ncln	ENSMUST00000118498.7	14	35
Mb21d1	ENSMUST00000070742.13	5	2
Slc37a4	ENSMUST00000213268.1	9	3
Hist1h3d	ENSMUST00000105105.3	1	194
Cst3	ENSMUST00000028938.6	3	2825
Wdr75	ENSMUST00000142145.1	4	1
Ccdc69	undef	0	2
Fam60a	undef	0	85
Gm23458	ENSMUST00000083257.1	1	3
Rplp2	ENSMUST00000084434.10	5	11627
RP23-46B12.7	ENSMUST00000192581.1	1	6
Sdcbp	ENSMUST00000103008.11	9	181
Nol4	undef	0	405
Fam32a	undef	0	226
Snrnp70	ENSMUST00000210808.1	4	8
Tpst1	ENSMUST00000128335.1	2	1
Pxdc1	ENSMUST00000053459.14	5	24
Zmat3	undef	0	115
Lrrc55	undef	0	16
Ttll11	undef	0	2
Drd5	ENSMUST00000041646.3	1	1
Tmem5	ENSMUST00000140299.2	6	83
Srp54c	ENSMUST00000164243.1	15	2
Zhx3	ENSMUST00000127201.1	3	6
Gm26189	ENSMUST00000179879.1	1	1
Retreg1	ENSMUST00000022881.14	9	46
Rnf167	ENSMUST00000037534.7	9	73
Dpp4	undef	0	2
Anapc11	ENSMUST00000093140.4	3	413
Usp21	ENSMUST00000065941.11	13	38
RP24-364K9.3	undef	0	13
Tango2	undef	0	213
Msrb3	undef	0	1
Stxbp4	undef	0	58
Rpl10a	ENSMUST00000143443.1	3	3
RP23-263M5.2	ENSMUST00000231841.1	1	2
Nucb1	undef	0	57
Mak	undef	0	2
Fam134a	ENSMUST00000097694.10	9	213
Tmem80	ENSMUST00000128906.1	2	2
AC099609.1	undef	0	2
Cisd2	ENSMUST00000029815.7	3	256
RP23-43G12.1	ENSMUST00000131681.1	3	4
Fopnl	undef	0	229
Nsmce4a	ENSMUST00000160289.8	11	521
Zbtb24	ENSMUST00000216656.1	2	44
Ndufa4l2	undef	0	6
Mpp3	ENSMUST00000147838.7	6	1
Usp9x	ENSMUST00000124097.1	3	1
Tceanc2	undef	0	44
Mettl14	ENSMUST00000174323.5	10	1
Pou2f1	ENSMUST00000176101.1	2	13
Stk11ip	ENSMUST00000113553.1	24	1
Cep104	ENSMUST00000155414.1	2	1
Aurkaip1	ENSMUST00000084097.11	4	796
RP23-422H22.2	undef	0	23
Mat2a	ENSMUST00000206692.1	9	6
Gm23502	ENSMUST00000083902.1	1	2
Smad9	undef	0	5
Malt1	undef	0	29
Zranb2	ENSMUST00000106057.7	11	24
Tenm1	undef	0	40
Ctss	undef	0	16
Pogk	ENSMUST00000131487.7	5	1
Bud31	ENSMUST00000160004.1	2	9
Telo2	ENSMUST00000130525.1	2	168
Ppp2r5c	ENSMUST00000221715.1	12	84
Abcd1	undef	0	35
Cdk1	ENSMUST00000020099.12	8	349
Slc12a4	undef	0	17
Ubtf	ENSMUST00000107115.7	19	13
Ppp1r2	ENSMUST00000115233.1	5	79
Lsm6	ENSMUST00000051867.6	4	552
Rmdn2	undef	0	29
Eral1	ENSMUST00000135154.1	3	1
Zfp707	ENSMUST00000109967.9	4	5
RP24-251F16.4	ENSMUST00000186870.6	3	72
RP24-111I3.3	undef	0	11
Lamb1	ENSMUST00000002979.14	33	1
Zbtb8b	ENSMUST00000053042.5	4	4
Mrpl21	undef	0	224
Pitpnm1	ENSMUST00000125596.1	2	3
Celf2	ENSMUST00000100429.10	13	15
Zfp946	ENSMUST00000088763.12	7	3
Tox3	ENSMUST00000109621.9	7	1
Rgs16	undef	0	18
Cdkn2d	ENSMUST00000213407.1	3	2
Tmem86b	ENSMUST00000205402.1	3	1
Rpl6	ENSMUST00000146579.1	2	2
Arhgef16	undef	0	1
H3f3b	undef	0	2010
Smc2os	undef	0	1
Bnip3l	ENSMUST00000135703.1	3	1
RP24-217L12.2	ENSMUST00000077776.6	1	10
Kdm5a	ENSMUST00000152293.5	3	10
Syngr3	ENSMUST00000007236.4	4	280
Smarce1	undef	0	1066
Chst2	undef	0	49
Golph3	ENSMUST00000227895.1	3	1
Myh9	ENSMUST00000134878.1	3	4
Rps27rt	ENSMUST00000053150.7	1	599
Acad9	undef	0	43
Phlda1	ENSMUST00000164773.1	2	268
Fam26f	undef	0	1
Ap5m1	ENSMUST00000228238.1	2	4
